date,Airport,year,month,weekday,is_weekend,season,iso_country,type,scheduled_service,latitude_deg,longitude_deg,elevation_ft,prev_arr_delay_1d,prev_arr_delay_7d,rolling_arr_delay_7d,target_delayed_15,target_delay_minutes
2022-01-11,Madrid Barajas,2022,1,1,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,7.404599156,10.01048593,6.631344338428571,0,5.91501938
2022-01-11,Milan Malpensa,2022,1,1,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,10.94644097,11.62347418,14.186063892857145,0,8.59775641
2022-01-11,Munich,2022,1,1,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,5.762655367,6.108186101,6.747374034571429,0,3.020965608
2022-01-11,Nice,2022,1,1,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,7.102208835,8.036309524,7.804710032428572,0,8.119791667
2022-01-11,Palma de Mallorca,2022,1,1,0,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,2.526449275,6.01752451,4.094091179857143,0,1.552283105
2022-01-11,Paris Orly,2022,1,1,0,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,9.009876543,8.57718894,8.633975765285715,0,5.435363248
2022-01-11,Rome Fiumicino,2022,1,1,0,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,8.347140523,6.723364486,7.564345324714287,0,3.192250531
2022-01-12,Barcelona,2022,1,2,0,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,4.069642857,6.455463576,5.598936318571428,0,6.675987362
2022-01-12,Brussels,2022,1,2,0,Winter,BE,heliport,no,50.90527,4.38936,209.0,7.05,8.678358209,11.079160187857143,0,7.887757202
2022-01-12,Frankfurt,2022,1,2,0,Winter,DE,heliport,no,50.145472,8.708981,209.0,9.355045045,9.699186992,13.295125103714286,0,9.933970856
2022-01-12,Madrid Barajas,2022,1,2,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,5.91501938,4.05339196,6.046277688428572,0,4.965022831
2022-01-12,Milan Malpensa,2022,1,2,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,8.59775641,17.32320574,13.753818497142857,1,15.80201699
